0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:40 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:41 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:42 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:43 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:44 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:45 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:45 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:46 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:55 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:57 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:58 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:59 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:16:59 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:17:01 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:08 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:13 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:14 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:15 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:15 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:15 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:17 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:17 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:19 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3193
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:20 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:18:48 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3193
0:0:0:0:0:0:0:1 - - [08/May/2020:11:19:07 +0900] "GET /HTML5/test1.html HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [08/May/2020:11:19:09 +0900] "GET /HTML5/test1.html HTTP/1.1" 304 -
